form,eng_trans,status,item,meaning,old_foil,goodone,done,notes
utsukusyi,CLEAN,prosaic,trial,CLEAN|TIDY,ihinira|iwizina|iyirima,TRUE,NA,NA
naku,CRY,prosaic,trial,CRY|WAIL,syuni|kuzi|huri,TRUE,NA,NA
herakoi,CUNNING,prosaic,trial,CUNNING|SLY|SNEAKY,nohunea|dzokyuzea|zyokurea,TRUE,NA,NA
hiru,DRY,prosaic,trial,DRY|PARCHED,nahi|dzakyi|zyaki,TRUE,NA,NA
kowai,EXHAUSTED,prosaic,trial,EXHAUSTED|TIRED|WEARY,nezyua|zetyua|retsua,TRUE,NA,NA
tsukareta,EXHAUSTED,prosaic,trial,EXHAUSTED|TIRED|WEARY,hinuhohu|wizukyowu|yirukoyu,TRUE,NA,NA
hiratai,FLAT,prosaic,trial,FLAT|SMOOTH,nahuhua|dzakyuwua|zyakuyua,TRUE,NA,NA
narui,FLAT,prosaic,trial,FLAT|SMOOTH,syuhia|kukyia|hukia,TRUE,NA,NA
tairana,FLAT,prosaic,trial,FLAT|SMOOTH,huahusyu|wuakyuku|yuakuhu,TRUE,NA,NA
iteru,FREEZE,prosaic,trial,FREEZE,ahohi|awokyi|ayoki,TRUE,NA,NA
omosyaiN,GLAD,prosaic,trial,GLAD|HAPPY,etyeruaQ|esenuaQ|esyemuaQ,TRUE,NA,NA
uresyii,GLAD,prosaic,trial,GLAD|HAPPY,ihora|ikyona|ikoma,TRUE,NA,NA
mabaii,GLARING (OVERLY BRIGHT),prosaic,trial,GLARING (light)|BLINDING (light)|DAZZLING,tyutyua|suhua|syusyua,TRUE,NA,NA
ikiru,HUMID,prosaic,trial,HUMID|MUGGY,anahi|azakyi|araki,TRUE,NA,NA
himozyii,HUNGRY,prosaic,trial,HUNGRY|STARVING,natyema|dzasewa|zyasyeha,TRUE,NA,NA
sekarasyika,NOISY,prosaic,trial,LOUD|NOISY,konuhuranu|mozukyunazu|gorukumaru,TRUE,NA,NA
aburaQkoi,OILY/HEAVY (FOOD),prosaic,trial,OILY/HEAVY (food),utyihunea|uhikyuzea|usyikurea,TRUE,NA,NA
mutsugoi,OILY/HEAVY (FOOD),prosaic,trial,OILY/HEAVY (food),tyihirea|siwisea|syiyityea,TRUE,NA,NA
syitsukoi,OILY/HEAVY (FOOD),prosaic,trial,OILY/HEAVY (food),rahinea|nawizea|mayirea,TRUE,NA,NA
egarai,PRICKLING,prosaic,trial,PRICKLING|TINGLING|SCRATCHING,oruhua|osukyua|otyukua,TRUE,NA,NA
hadagu,RAP (AT THE DOOR),prosaic,trial,RAP (at the door)|KNOCK (at the door),nuwuri|dzuyusi|zyuhutyi,TRUE,NA,NA
arai,ROUGH,prosaic,trial,ROUGH|GRITTY|COARSE,uhua|ukyua|ukua,TRUE,NA,NA
futoi,ROUGH,prosaic,trial,ROUGH|GRITTY|COARSE,rihea|giwea|niyea,TRUE,NA,NA
gurasyi,SAD,prosaic,trial,SAD|GLUM,rihura|sikyuna|tyikuma,TRUE,NA,NA
setsunai,SAD,prosaic,trial,SAD|GLUM,kohisyua|mowikua|goyihua,TRUE,NA,NA
kudoi,SALTY,prosaic,trial,SALTY|BRINY (taste),niwea|ziyea|rihea,TRUE,NA,NA
ezui,SCARY,prosaic,trial,SCARY|FRIGHTENING,ogia|okyia|okia,TRUE,NA,NA
kyootee,SCARY,prosaic,trial,SCARY|FRIGHTENING,neho|zewo|reyo,TRUE,NA,NA
otorosyii,SCARY,prosaic,trial,SCARY|FRIGHTENING,ehehera|ewekyena|eyekema,TRUE,NA,NA
bisyoQtanee,SHABBY,prosaic,trial,SCRUFFY|TATTY|RAGGEDY,tyarehusyo|hanewuko|syameyuho,TRUE,NA,NA
misuborasyii,SHABBY,prosaic,trial,SCRUFFY|TATTY|RAGGEDY,tyakityehura|samihekyuna|syagisyekuma,TRUE,NA,NA
nomeQkoi,SLICK,prosaic,trial,SLIPPERY|SMOOTH,syetyonea|kesozea|hesyorea,TRUE,NA,NA
doNkusai,SLOW,prosaic,trial,SLOW,weQnikua|yeQzimua|heQrigua,TRUE,NA,NA
erai,SLUGGISH,prosaic,trial,SLUGGISH|LETHARGIC,ohua|okyua|okua,TRUE,NA,NA
ibii,SMOKY,prosaic,trial,SMOKY,atya|aha|asya,TRUE,NA,NA
kebutai,SMOKY,prosaic,trial,SMOKY,notyihua|zohiwua|rosyiyua,TRUE,NA,NA
hiroi,SPACIOUS,prosaic,trial,SPACIOUS|WIDE,nahea|dzakyea|zyakea,TRUE,NA,NA
yabuku,TEAR,prosaic,trial,TEAR|RIP,tutyini|tyuhizi|tsusyiri,TRUE,NA,NA
hosoi,THIN,prosaic,trial,THIN|SLENDER,nekea|dzemea|zyegea,TRUE,NA,NA
kosobai,TICKLING,prosaic,trial,TICKLING,neketyua|zemehua|regesyua,TRUE,NA,NA
kusuguQtee,TICKLING,prosaic,trial,TICKLING,nikiriho|zimisiwo|rigityiyo,TRUE,NA,NA
komaNka,TIGHT,prosaic,trial,TIGHT|PINCHING,netyuQnu|zesuQzu|resyuQru,TRUE,NA,NA
amai,WEAK,prosaic,trial,BLAND (taste)|TASTELESS|WATERY (taste),utyua|usua|usyua,TRUE,NA,NA
