concept,form,item,meaning,iconic,foils
CRAMPED,semai,trial,CRAMPED|TIGHT,y,kotyua|mosua|gosyua
BRIGHT,akarui,trial,BRIGHT|SUNNY,y,unuhia|uzukyia|urukia
STICKY,betabeta,trial,STICKY|GOOEY,y,tyohu|howu|syoyu
POUNDING (HEAD),zyiNzyiN,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,maQ|waQ|haQ
ANNOYED/IMPATIENT,mukamuka,trial,ANNOYED|IMPATIENT,y,tyinu|sizu|syiru
STINGING (PAIN),tyikatyika,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,wanu|yazu|garu
NOISY,yagurasyika,trial,LOUD|NOISY,y,turihuranu|tyusikyunazu|tsutyikumaru
QUIET,syizukaya,trial,QUIET,y,raginutu|nakyizutyu|makirutsu
EXHAUSTED,kaQtarii,trial,EXHAUSTED|TIRED|WEARY,y,nuhuha|zuwukya|ruyuka
FUZZY,booQ,trial,FUZZY|BLURRY|HAZY,y,tyeN|heN|syeN
BIG,igai,trial,BIG|MASSIVE|LARGE|HUGE,n,arua|asua|atyua
CRAWL,hau,trial,CRAWL|CREEP,n,nui|dzui|zyui
EXHAUSTED,kitsuka,trial,EXHAUSTED|TIRED|WEARY,n,nahinu|zawizu|rayiru
STUFFED (FULL OF FOOD),maNpuku,trial,STUFFED (from eating too much)|FULL (from eating),n,tyuQsyini|suQwizi|syuQyiri
STRONG (TASTE),koi,trial,RICH (taste)|STRONG (taste),n,nea|zea|rea
SHABBY,miQtomonai,trial,SCRUFFY|TATTY|RAGGEDY,n,tyahetyesyua|sawesekua|syayesyehua
NOISY,nigiyaka,trial,LOUD|NOISY,n,syaratunu|kasatyuzu|hatyatsuru
ANNOYED/IMPATIENT,hagai,trial,ANNOYED|IMPATIENT,n,nurua|dzusua|zyutyua
CUNNING,kosui,trial,CUNNING|SLY|SNEAKY,n,nekia|zemia|regia
WATERY (EYES),syikusyiku,trial,WATERY (EYES)|BLEARY (EYES),y,rani|nazi|mari
TICKLING,motyokoi,trial,TICKLING,y,tyewenea|seyezea|syegerea
BIG,ookii,trial,BIG|MASSIVE|LARGE|HUGE,y,ena|eza|era
RINGING,tsuuN,trial,RINGING (e.g. a ringing sound in your ears),y,hiQ|wiQ|yiQ
ANNOYED/IMPATIENT,yaQkiri,trial,ANNOYED|IMPATIENT,y,tunaha|tyuzakya|tsuraka
OILY/HEAVY (FOOD),kudoi,trial,OILY/HEAVY (food),y,niwea|ziyea|rihea
STUFFED (FULL OF FOOD),paNpaN,trial,STUFFED (from eating too much)|FULL (from eating),y,syuQ|wuQ|yuQ
SHAKING,uzyauzya,trial,SHAKING|TREMBLING,y,imu|iwu|ihu
LIVELY (ENERGETIC),syaNsyaN,trial,LIVELY|ENERGETIC,y,ruQ|nuQ|muQ
DARK,kurai,trial,DARK|DIM,y,nihua|zikyua|rikua
STUFFED (FULL OF FOOD),kutyii,trial,STUFFED (from eating too much)|FULL (from eating),y,niwa|ziya|riga
SALTY,karai,trial,SALTY|BRINY (taste),y,nuhua|zukyua|rukua
RAP (AT THE DOOR),dotsuku,trial,RAP (at the door)|KNOCK (at the door),y,wehini|yewizi|heyiri
SLIMY,nurunuru,trial,SLIMY|SLIPPERY|SLICK,y,syihi|kikyi|hiki
CRAWL,notaru,trial,CRAWL|CREEP,n,syehuhi|kewukyi|heyuki
ACRID (TASTE),egui,trial,ACRID (taste)|BITTER (taste),n,oria|osia|otyia
PRICKLING,hasyikai,trial,PRICKLING|TINGLING,n,nuranua|dzunazua|zyumarua
WET,yogoreru,trial,WET|SOGGY|DAMP,n,terehohi|tyesekyokyi|tsetyekoki
ROLL,mawaru,trial,ROLL|SPIN,n,tyuzyuhi|sutyukyi|syutsuki
EXHAUSTED,erai,trial,EXHAUSTED|TIRED|WEARY,n,ohua|okyua|okua
HARD,kowai,trial,HARD,n,nezyua|zetyua|retsua
