form,eng_trans,status,item,meaning,old_foil,goodone,done,notes,foil
iratyimonai,ANNOYED/IMPATIENT,prosaic,trial,ANNOYED|IMPATIENT,NA,TRUE,NA,NA,aQpuQpaQkewua|aQkuyayeyua|apyuwahehua
kubiru,BIND,prosaic,trial,BIND|TIGHTEN,nityahi|zihakyi|risyaki,TRUE,NA,NA,riQraQri|niwaQpi|wiyapyi
kukuru,BIND,prosaic,trial,BIND|TIGHTEN,ninihi|zizikyi|ririki,TRUE,NA,NA,niniQni|ririQpi|wiwipyi
syibaru,BIND,prosaic,trial,BIND|TIGHTEN,ratyuhi|nahukyi|masyuki,TRUE,NA,NA,yaQpiQpi|Qgayipyi|wawiQki
kamu,CHEW,prosaic,trial,CHEW,nutyi|zusi|rusyi,TRUE,NA,NA,wihi|riQri|niyi
utsukusyi,CLEAN,prosaic,trial,CLEAN|TIDY,ihinira|iwizina|iyirima,TRUE,NA,NA,iwiwiQga|iyiniwa|iQgiriya
naku,CRY,prosaic,trial,CRY|WAIL,syuni|kuzi|huri,TRUE,NA,NA,hiri|yini|wiwi
herakoi,CUNNING,prosaic,trial,CUNNING|SLY|SNEAKY,nohunea|dzokyuzea|zyokurea,TRUE,NA,NA,reQpuwea|nepyurea|QgeQnunea
hiru,DRY,prosaic,trial,DRY|PARCHED,nahi|dzakyi|zyaki,TRUE,NA,NA,QgaQki|raQpi|wapyi
kowai,EXHAUSTED,prosaic,trial,EXHAUSTED|TIRED|WEARY,nezyua|zetyua|retsua,TRUE,NA,NA,neQtua|retua|tyetyua
tsukareta,EXHAUSTED,prosaic,trial,EXHAUSTED|TIRED|WEARY,hinuhohu|wizukyowu|yirukoyu,TRUE,NA,NA,wiwiQpoyi|QgiriQrowi|yinipyomi
hiratai,FLAT,prosaic,trial,FLAT|SMOOTH,nahuhua|dzakyuwua|zyakuyua,TRUE,NA,NA,napyuyua|waQpuwua|QgaQkumua
narui,FLAT,prosaic,trial,FLAT|SMOOTH,syuhia|kukyia|hukia,TRUE,NA,NA,yipyia|pyiQpia|QkiQkia
tairana,FLAT,prosaic,trial,FLAT|SMOOTH,huahusyu|wuakyuku|yuakuhu,TRUE,NA,NA,wuapyuhu|yuaQpuyu|muaQkupyu
iteru,FREEZE,prosaic,trial,FREEZE,ahohi|awokyi|ayoki,TRUE,NA,NA,awoQki|amopyi|ayoQpi
omosyaiN,GLAD,prosaic,trial,GLAD|HAPPY,etyeruaQ|esenuaQ|esyemuaQ,TRUE,NA,NA,eyeQguaQ|eQkewuaQ|eheyuaQ
uresyii,GLAD,prosaic,trial,GLAD|HAPPY,ihora|ikyona|ikoma,TRUE,NA,NA,ipyoya|iQpowa|iQkoQga
mabaii,GLARING (OVERLY BRIGHT),prosaic,trial,GLARING (light)|BLINDING (light)|DAZZLING,tyutyua|suhua|syusyua,TRUE,NA,NA,Qkuruu|huwuu|yuyuu
ikiru,HUMID,prosaic,trial,HUMID|MUGGY,anahi|azakyi|araki,TRUE,NA,NA,awapyi|araQri|anaQpi
himozyii,HUNGRY,prosaic,trial,HUNGRY|STARVING,natyema|dzasewa|zyasyeha,TRUE,NA,NA,rarewa|waQkepya|Qgayeya
sekarasyika,NOISY,prosaic,trial,LOUD|NOISY,konuhuranu|mozukyunazu|gorukumaru,TRUE,NA,NA,yorupyuQgaru|QgowuQwuwawu|wonuQpuyanu
aburaQkoi,OILY/HEAVY (FOOD),prosaic,trial,OILY/HEAVY (food),utyihunea|uhikyuzea|usyikurea,TRUE,NA,NA,ipyipyipyea|iwiQpinea|iyiQkiwea
mutsugoi,OILY/HEAVY (FOOD),prosaic,trial,OILY/HEAVY (food),tyihirea|siwisea|syiyityea,TRUE,NA,NA,QkiQwiwea|yiwirea|hiyihea
syitsukoi,OILY/HEAVY (FOOD),prosaic,trial,OILY/HEAVY (food),rahinea|nawizea|mayirea,TRUE,NA,NA,wayinea|QgaQgirea|yawiwea
egarai,PRICKLING,prosaic,trial,PRICKLING|TINGLING|SCRATCHING,oruhua|osukyua|otyukua,TRUE,NA,NA,ohuQkua|owuQpua|orupyua
hadagu,RAP (AT THE DOOR),prosaic,trial,RAP (at the door)|KNOCK (at the door),nuwuri|dzuyusi|zyuhutyi,TRUE,NA,NA,wiyiwi|QgiQgiQgi|niwiri
arai,ROUGH,prosaic,trial,ROUGH|GRITTY|COARSE,uhua|ukyua|ukua,TRUE,NA,NA,upyua|uQpua|uQkua
futoi,ROUGH,prosaic,trial,ROUGH|GRITTY|COARSE,rihea|giwea|niyea,TRUE,NA,NA,nimea|Qgiyea|yiwea
gurasyi,SAD,prosaic,trial,SAD|GLUM,rihura|sikyuna|tyikuma,TRUE,NA,NA,riQkiwa|hiQpiya|wipyiQwa
setsunai,SAD,prosaic,trial,SAD|GLUM,kohisyua|mowikua|goyihua,TRUE,NA,NA,QgoyiQkia|woQgiyia|yowiwia
kudoi,SALTY,prosaic,trial,SALTY|BRINY (taste),niwea|ziyea|rihea,TRUE,NA,NA,riwea|wiyea|nihea
ezui,SCARY,prosaic,trial,SCARY|FRIGHTENING,ogia|okyia|okia,TRUE,NA,NA,oQkia|owia|opyia
kyootee,SCARY,prosaic,trial,SCARY|FRIGHTENING,neho|zewo|reyo,TRUE,NA,NA,weyo|nemo|rewo
otorosyii,SCARY,prosaic,trial,SCARY|FRIGHTENING,ehehera|ewekyena|eyekema,TRUE,NA,NA,ewepyewa|emeQpeQga|eyeQkeya
bisyoQtanee,SHABBY,prosaic,trial,SCRUFFY|TATTY|RAGGEDY,tyarehusyo|hanewuko|syameyuho,TRUE,NA,NA,rawewuQke|waQgemuwe|yayeyupye
misuborasyii,SHABBY,prosaic,trial,SCRUFFY|TATTY|RAGGEDY,tyakityehura|samihekyuna|syagisyekuma,TRUE,NA,NA,hawiQpeQpiyi|QkaQgiyeQkiwi|yayiwepyiQgi
nomeQkoi,SLICK,prosaic,trial,SLIPPERY|SMOOTH,syetyonea|kesozea|hesyorea,TRUE,NA,NA,yeQkeyea|Qkehewea|heyerea
doNkusai,SLOW,prosaic,trial,SLOW,weQnikua|yeQzimua|heQrigua,TRUE,NA,NA,heQniwia|weQwiyia|yeQriQgia
erai,SLUGGISH,prosaic,trial,SLUGGISH|LETHARGIC,ohua|okyua|okua,TRUE,NA,NA,oQpua|oQkua|opyua
ibii,SMOKY,prosaic,trial,SMOKY,atya|aha|asya,TRUE,NA,NA,ara|awa|aya
kebutai,SMOKY,prosaic,trial,SMOKY,notyihua|zohiwua|rosyiyua,TRUE,NA,NA,norimia|rowiyia|woyiwia
hiroi,SPACIOUS,prosaic,trial,SPACIOUS|WIDE,nahea|dzakyea|zyakea,TRUE,NA,NA,waQpea|raQkea|napyea
yabuku,TEAR,prosaic,trial,TEAR|RIP,tutyini|tyuhizi|tsusyiri,TRUE,NA,NA,titiwi|Qtiwini|tyiriri
hosoi,THIN,prosaic,trial,THIN|SLENDER,nekea|dzemea|zyegea,TRUE,NA,NA,neQgea|Qgeyea|rewea
kosobai,TICKLING,prosaic,trial,TICKLING,neketyua|zemehua|regesyua,TRUE,NA,NA,neyerua|reQgewua|weweyua
kusuguQtee,TICKLING,prosaic,trial,TICKLING,nikiriho|zimisiwo|rigityiyo,TRUE,NA,NA,riQririyo|niyiwiwo|wiwihimo
komaNka,TIGHT,prosaic,trial,TIGHT|PINCHING,netyuQnu|zesuQzu|resyuQru,TRUE,NA,NA,nehuQnu|weyuQwu|reQruQru
amai,WEAK,prosaic,trial,BLAND (taste)|TASTELESS|WATERY (taste),utyua|usua|usyua,TRUE,NA,NA,uQkua|uhua|uyua
