ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
k̟͡x̟	-	+	-	-	-	+	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k̠͡x̠	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
l	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	+	-	-	0	0	+
ʟ	-	+	+	+	+	0	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	+	-	-	+	-	-	0	0	+
ɫ	-	+	+	+	+	0	-	-	-	+	-	-	-	-	-	0	-	+	+	+	-	-	+	-	-	+	-	-	0	0	+
ʟ̟	-	+	+	+	+	0	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	+	-	-	+	-	-	0	0	+
ʟ̠	-	+	+	+	+	0	-	-	-	+	+	-	-	-	-	0	-	-	+	0	0	0	+	-	-	+	-	-	0	0	+
ɭ	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	-	+	-	-	+	-	-	0	0	+
l̥	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	-	-	-	0	0	+
ʟ̥	-	+	+	+	+	0	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	+	-	-	-	-	-	0	0	+
l̩	+	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	+	-	-	0	0	+
ɫ̥	-	+	+	+	+	0	-	-	-	+	-	-	-	-	-	0	-	+	+	+	-	-	+	-	-	-	-	-	0	0	+
ɬ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	-	-	-	0	0	+
ɮ	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	+	-	-	0	0	+
ʟ̟̥	-	+	+	+	+	0	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	+	-	-	-	-	-	0	0	+
ʟ̠̥	-	+	+	+	+	0	-	-	-	+	+	-	-	-	-	0	-	-	+	0	0	0	+	-	-	-	-	-	0	0	+
ɭ̥	-	+	+	+	+	0	-	-	0	0	0	0	-	-	-	0	-	+	-	-	-	-	+	-	-	-	-	-	0	0	+
ɮ̥	-	+	-	-	+	+	-	-	0	0	0	0	-	-	-	0	-	+	-	+	-	-	+	-	-	-	-	-	0	0	+
m	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	+	-	-	0	0	0	-	-	-	+	-	-	0	0	+
m̥	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
ɯ̃	+	-	+	+	+	0	-	-	-	+	+	-	-	+	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɱ̥	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	+	-	-	0	0	0	-	-	+	-	-	-	0	0	+
ɯ̥	+	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	-	-	-	-	0	+
ɰ̥	-	-	+	+	+	0	-	-	0	0	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
ɰ̥̠	-	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
ɱ	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	+	-	-	0	0	0	-	-	+	+	-	-	0	0	+
m̩	+	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	+	-	-	0	0	0	-	-	-	+	-	-	0	0	+
ɯ	+	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɰ	-	-	+	+	+	0	-	-	0	0	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ɰ̠	-	-	+	+	+	0	-	-	-	+	+	-	-	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ɯː	+	-	+	+	+	0	-	-	-	+	+	-	+	-	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɯ̃ː	+	-	+	+	+	0	-	-	-	+	+	-	+	+	-	+	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
n	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	-	+	-	+	-	-	-	-	-	+	-	-	0	0	+
