experiment,trial,item_type,form,meaning,foils
3,10,trial,kunekune,WINDING|TWISTING|TWIRLING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
3,11,trial,dokidoki,ANXIOUS|AFRAID|NERVOUS,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,1,practice,honnori,WAFTING,chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,2,practice,chirahora,SKATTERED,honnori|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,3,trial,morimori,MUSCLY|BUFF|BULKY,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,4,trial,bukubuku2,ROUND|SWOLLEN|BLOATED,honnori|chirahora|hiyahiya|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,5,trial,wakuwaku,EXCITED|CHEERFUL|UPBEAT,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,6,trial,gayagaya,LOUD|HUBBUB|NOISY,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,7,trial,mojimoji,RESTLESS|FIDGETY|SQUIRMING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
4,8,trial,kankan3,CLANGING|CLAMORING|BANGING,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
