experiment,trial,item_type,form,meaning
9,16,control,hisohiso,WHISPERING
10,1,practice,yoroyoro,WOBBLING
10,2,practice,fuwafuwa,FLUFFY
10,3,trial,hayai,FAST|QUICK|SPEEDY
10,4,trial,zukizuki,THROBBING|PULSATING
10,5,trial,syizukaya,QUIET
10,6,trial,tyiisoo,TIGHT|PINCHING
10,7,trial,syakiQ,CLEAR|REFRESHED
10,8,trial,iraira,SCRATCHY
10,9,trial,zurui,CUNNING|SLY|SNEAKY
10,10,trial,hedzune,SAD|GLUM
10,11,trial,aburaQkoi,OILY/HEAVY (food)
10,12,trial,kitsuka,SLUGGISH|LETHARGIC
10,13,trial,syitsukoi,OILY/HEAVY (food)
10,14,control,katai,HARD
10,15,control,pyoNpyoN,BOUNCING|HOPPING
10,16,control,hisohiso,WHISPERING
11,1,practice,yoroyoro,WOBBLING
11,2,practice,fuwafuwa,FLUFFY
11,3,trial,syibasyiba,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
11,4,trial,tyiraatyiraa,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
11,5,trial,syibityoo,COLD|CHILLY
11,6,trial,darui,SLUGGISH|LETHARGIC
11,7,trial,piripiri,BURNING|TINGLING
11,8,trial,boNyari,FUZZY|BLURRY|HAZY
11,9,trial,omoi,HEAVY
11,10,trial,hidoroQko,GLARING (light)|BLINDING (light)
11,11,trial,hiratai,FLAT|SMOOTH
11,12,trial,egarai,PRICKLING|TINGLING
11,13,trial,doNkusai,SLOW
11,14,control,katai,HARD
11,15,control,pyoNpyoN,BOUNCING|HOPPING
11,16,control,hisohiso,WHISPERING
12,1,practice,yoroyoro,WOBBLING
12,2,practice,fuwafuwa,FLUFFY
12,3,trial,toNtoN,POUNDING (e.g. headache)|THROBBING (e.g. headache)
12,4,trial,gaNgaN,POUNDING (e.g. headache)|THROBBING (e.g. headache)
12,5,trial,serasera,PRICKLING|TINGLING
12,6,trial,motyokoi,TICKLING
12,7,trial,zyitozyito,HUMID|MUGGY
12,8,trial,nebaneba,SLIMY|GOOEY
12,9,trial,betabeta,STICKY|GOOEY
12,10,trial,nobude,RUDE|ARROGANT|BRAZEN
12,11,trial,kudoi,SALTY|BRINY (taste)
12,12,trial,yogoreru,WET|SOGGY|DAMP
