experiment,trial,item_type,form,meaning,foils
27,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
27,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
27,3,trial,syaQkoi,COLD|CHILLY,runea|nuzea|murea
27,4,trial,nurunuru,SLIMY|SLIPPERY|SLICK,syihi|kikyi|hiki
27,5,trial,syibasyiba,"STINGING (PAIN, E.G. IN EYES)|BURNING (PAIN, E.G. IN EYES)",ratyu|nahu|masyu
27,6,trial,zyireQtai,ANNOYED|IMPATIENT,mahohua|wakyowua|hakoyua
27,7,trial,paNpaN,STUFFED (FROM EATING TOO MUCH)|FULL (FROM EATING),syuQ|wuQ|yuQ
27,8,trial,hirihiri,THROBBING|PULSATING,naha|dzakya|zyaka
27,9,trial,yogoreru,WET|SOGGY|DAMP,terehohi|tyesekyokyi|tsetyekoki
27,10,trial,syiNdoi,SLUGGISH|LETHARGIC,raQwea|naQyea|maQhea
27,11,trial,aburaQkoi,OILY/HEAVY (FOOD),utyihunea|uhikyuzea|usyikurea
27,12,control,katai,HARD,nuhua|zuwua|ruyua
27,13,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
27,14,control,hisohiso,WHISPERING,nake|dzame|zyage
28,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
28,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
28,3,trial,suQkiri,CLEAR|REFRESHED,kinaha|mizakya|giraka
28,4,trial,tyikutyiku,CRAMPING (E.G. IN STOMACH)|SPASMING (E.G. IN STOMACH),wani|yazi|gari
28,5,trial,atsui,HOT,uhia|uwia|uyia
28,6,trial,naGai,LONG,syurua|kusua|hutyua
28,7,trial,nukui,WARM,syinia|kizia|hiria
28,8,trial,mabusyii,GLARING (LIGHT)|BLINDING (LIGHT)|DAZZLING,tyutyira|suhina|syusyima
28,9,trial,maNpuku,STUFFED (FROM EATING TOO MUCH)|FULL (FROM EATING),tyuQsyini|suQwizi|syuQyiri
28,10,trial,mutsugoi,OILY/HEAVY (FOOD),tyihirea|siwisea|syiyityea
28,11,trial,kaku,SCRATCH,nuni|zuzi|ruri
28,12,control,katai,HARD,nuhua|zuwua|ruyua
28,13,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
28,14,control,hisohiso,WHISPERING,nake|dzame|zyage
29,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
29,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
29,3,trial,tyikatyika,PRICKLING|TINGLING,wanu|yazu|garu
29,4,trial,nurui,LUKEWARM,syihia|kikyia|hikia
29,5,trial,zyitozyito,WET|SOGGY|DAMP,mahe|wawe|haye
29,6,trial,gatagata,SHAKING|TREMBLING,ruhu|suwu|tyuyu
29,7,trial,syiQketoru,WET|SOGGY|DAMP,ranohehi|nazowekyi|maroyeki
29,8,trial,adzu,RUDE|ARROGANT|BRAZEN,uwi|uyi|uhi
29,9,trial,mawaru,ROLL|SPIN,tyuzyuhi|sutyukyi|syutsuki
29,10,trial,komaNka,TIGHT|PINCHING,netyuQnu|zesuQzu|resyuQru
29,11,trial,ookii,ROUGH|GRITTY|COARSE,ena|eza|era
29,12,control,katai,HARD,nuhua|zuwua|ruyua
29,13,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
29,14,control,hisohiso,WHISPERING,nake|dzame|zyage
30,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
30,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
30,3,trial,nebaneba,SLIMY|GOOEY,syotyu|kohu|hosyu
30,4,trial,tyiraatyiraa,"STINGING (PAIN, E.G. IN EYES)|BURNING (PAIN, E.G. IN EYES)",wahu|yakyu|gaku
30,5,trial,tyiisoo,TIGHT|PINCHING,wake|yame|gage
30,6,trial,karai,SPICY,nuhua|zukyua|rukua
30,7,trial,bisyobisyo,WET|SOGGY|DAMP,tyare|hane|syame
30,8,trial,deQkai,BIG|MASSIVE|LARGE|HUGE,wonua|yozua|horua
30,9,trial,yabuku,TEAR|RIP,tutyini|tyuhizi|tsusyiri
30,10,trial,koi,RICH (TASTE)|STRONG (TASTE),nea|zea|rea
30,11,trial,geNki,LIVELY|ENERGETIC,roQna|soQza|tyoQra
30,12,control,katai,HARD,nuhua|zuwua|ruyua
30,13,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
30,14,control,hisohiso,WHISPERING,nake|dzame|zyage
31,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
31,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
31,3,trial,zurui,CUNNING|SLY|SNEAKY,gihia|kyikyia|kikia
31,4,trial,netyanetya,STICKY|GOOEY,syowu|koyu|hogu
31,5,trial,iraira,PRICKLING|TINGLING,ahu|akyu|aku
31,6,trial,iQpai,STUFFED (FROM EATING TOO MUCH)|FULL (FROM EATING),asyua|awua|ayua
31,7,trial,piNpiN,LIVELY|ENERGETIC,syaQ|waQ|yaQ
31,8,trial,saQpari,CLEAN|TIDY,kusyuha|muwukya|guyuka
31,9,trial,kubiru,BIND|TIGHTEN,nityahi|zihakyi|risyaki
31,10,trial,kowai,HARD,nezyua|zetyua|retsua
31,11,trial,kosui,CUNNING|SLY|SNEAKY,nekia|zemia|regia
31,12,control,katai,HARD,nuhua|zuwua|ruyua
31,13,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
31,14,control,hisohiso,WHISPERING,nake|dzame|zyage
